Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712790107.51,0,0,53.4,5.0,8.8,11.0,21.831171875000003,48.44824971004748,1007.7792326822437,45.64776584179446,318783.4
1712790112.6,0,0,47.8,5.0,8.4,10.4,21.831874999999997,48.36594587203238,1007.7841661980713,45.606510563664,320612.4
1712790117.51,0,0,48.2,5.0,8.4,10.4,21.8290625,48.31069744040498,1007.7891212368668,45.56507551989764,321210.0
1712790122.55,0,0,55.6,5.0,8.0,10.4,21.834375,48.28015483903742,1007.779037712017,45.64939646557081,320318.2
1712790127.52,0,0,51.8,5.0,8.0,10.4,21.83515625,48.252808399777436,1007.7679837012017,45.74183323985583,320436.8
1712790132.54,0,0,53.4,5.2,7.8,8.4,21.83515625,48.23410071801116,1007.7751847478378,45.681615775772585,320910.0
1712790137.52,0,0,48.6,5.2,7.8,8.4,21.830781249999998,48.23855801076207,1007.7717292685599,45.71051151045124,321208.6
1712790142.54,0,0,54.4,6.0,7.6,7.6,21.82203125,48.24622557402718,1007.7795628968868,45.64500452208225,320317.8
1712790147.53,0,0,53.0,6.0,7.6,7.6,21.811171875,48.276088220490564,1007.7756817671179,45.677459555695535,319372.2
1712790152.55,0,0,53.0,5.0,8.0,8.0,21.811171875,48.276088220490564,1007.7756817671179,45.677459555695535,319372.2
1712790157.52,0,0,46.2,5.0,8.0,8.0,21.799179687499997,48.28710532176679,1007.7757578383677,45.67682353660514,320258.4
1712790162.54,0,0,45.8,5.0,8.0,8.0,21.781796875,48.32741020476279,1007.7744709506294,45.687584815998136,321329.2
1712790167.52,0,0,55.2,5.0,8.0,8.0,21.7707421875,48.356012466774395,1007.7702655095387,45.72275201902858,321924.4
1712790172.54,0,0,42.0,5.0,8.0,8.0,21.7634375,48.38881983780124,1007.757511784097,45.829403251391405,323554.0
1712790177.52,0,0,53.0,5.0,8.0,8.0,21.756718749999997,48.421703465795396,1007.752583383331,45.87061662650125,322642.4
1712790182.55,0,0,45.0,4.2,6.2,6.2,21.762890624999997,48.4511682381128,1007.759351231761,45.81402103091545,322764.0
1712790187.52,0,0,47.8,4.2,6.2,6.2,21.76984375,48.46200349643544,1007.7622666692683,45.789641005380766,320971.0
1712790192.59,0,0,45.8,4.4,6.4,6.6,21.7678515625,48.4605122023216,1007.7600040248478,45.80856212888898,320738.6
1712790197.54,0,0,48.4,4.4,6.4,6.6,21.7637109375,48.466251219927145,1007.7559063069617,45.84282893944875,321983.0
1712790202.53,0,0,48.4,5.0,7.0,8.0,21.7587109375,48.48936740149093,1007.747303019985,45.91477342332344,323244.2
1712790207.52,0,0,53.0,5.0,7.0,8.0,21.750703124999998,48.49213817596352,1007.7443593391927,45.939389938700536,323184.8
1712790212.57,0,0,45.4,5.0,7.0,7.4,21.748359375,48.50309208653705,1007.7411729748113,45.96603588095358,324642.0
