Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707960037.7122731,0,0,20.839765625,298518,41.933741385022564,1010.1100471263936,26.175113598309913
1707960038.727035,0,0,20.7505078125,305668,42.03403057400816,1010.1120052278349,26.158770056985087
1707960039.7412755,0,0,20.6587109375,308510,42.1585345566493,1010.1027399406795,26.236104174517138
1707960040.7546008,0,0,20.5700390625,312579,42.301795691210074,1010.1038401252496,26.22692128791428
1707960041.7690756,0,0,20.4876171875,320427,42.421349406849636,1010.1029411215367,26.234424982031424
1707960042.7837272,0,0,20.409296875,321047,42.56591287485532,1010.0895082366058,26.346545585286353
1707960043.7975752,0,0,20.336640625,324501,42.69280651403646,1010.0941349190352,26.30792780074274
1707960044.8120835,0,0,20.266328125,328355,42.82616669891465,1010.0973466812034,26.28112009314453
1707960045.8261757,0,0,20.2067578125,330316,42.96692578136044,1010.0919789990697,26.325922718603024
1707960046.840913,0,0,20.155,333637,43.102498177295026,1010.0872171853382,26.36566848184699
1707960047.854694,0,0,20.095625,336684,43.24962524260508,1010.0873937579237,26.364194668409866
1707960048.8679845,1,1,20.0372265625,338747,43.42158400478904,1010.0891638055203,26.349420472885864
1707960049.8814168,0,0,19.980390625,342948,43.538441487206924,1010.0829949756526,26.40091042121902
1707960050.894694,0,0,19.92921875,343303,43.72378387672405,1010.1036430701605,26.228566042741573
1707960051.9079418,0,0,19.8790234375,347255,43.94027501934749,1010.1311340768058,25.99911004915673
1707960052.9213374,0,0,19.8493359375,345808,44.48714937355069,1010.2711345822397,24.830662519546177
1707960053.9342623,0,0,19.8497265625,350187,44.4871931031878,1010.3312569928069,24.328919699639187
1707960054.9471884,0,0,19.8559765625,349818,44.562212267517175,1010.3730495238939,23.98016046213394
1707960055.9600916,0,0,19.86203125,352794,44.389528187603226,1010.3253011097613,24.37862257520987
1707960056.9735227,0,0,19.847578125,353923,44.50552905723436,1010.2892291990706,24.679653987283224
1707960057.98687,0,0,19.828828125,355820,44.65211002895363,1010.26881576039,24.850014393746005
1707960059.0002012,0,0,19.804609375,355820,44.6431944202901,1010.2533806322524,24.978830146933298
1707960060.0135627,0,0,19.7555859375,363619,45.016116250153125,1010.2197910199648,25.259161879572464
1707960061.0279455,0,0,19.709296875,362824,44.98605345553746,1010.1994486790999,25.4289383826569
1707960062.0417807,0,0,19.6673046875,365220,45.0247843350311,1010.1896816202701,25.510454915780183
1707960063.055107,0,0,19.627265625,366026,45.076165044333386,1010.1971182105605,25.448388572632023
1707960064.0684857,0,0,19.5977734375,367648,45.1722488448563,1010.2027016284379,25.401789189290565
1707960065.0818489,0,1,19.5770703125,368874,45.30047123656419,1010.2105326124055,25.336431899173384
1707960066.09509,0,1,19.5628125,368874,45.30507604192638,1010.2062575904678,25.37211112569292
1707960067.1083765,0,1,19.5485546875,369696,45.403003307928145,1010.1967362473365,25.451576457480687
1707960068.1216626,0,1,19.539375,370522,45.470429949627295,1010.1868453207258,25.534126983042512
1707960069.134474,0,1,19.53,374284,45.58146151980517,1010.204608010046,25.38587851546031
1707960070.1477723,0,1,19.5028515625,380330,45.634446344432504,1010.2175391952992,25.277955397394322
1707960071.1618237,1,2,19.4637890625,381190,45.6486940876393,1010.2090702564582,25.348636671701378
1707960072.1762202,1,2,19.4235546875,379902,45.69397132833508,1010.188173812816,25.523039235561924
1707960073.19102,1,2,19.3938671875,381406,45.82152540161977,1010.1759259144327,25.625262048703977
1707960074.2059574,0,1,19.3633984375,381406,45.880431221727726,1010.174622992769,25.636136489112094
1707960075.2208507,0,1,19.33234375,386655,45.90808368202504,1010.1706017522895,25.669698624487296
1707960076.2353213,0,1,19.308125,388436,45.930279340949696,1010.1708598014443,25.667544887659382
1707960077.2499416,0,1,19.296796875,386655,46.0163756428155,1010.1696546204929,25.67760360531226
1707960078.2647927,1,2,19.2876171875,388436,46.08401972180226,1010.1684968122321,25.687266948735626
1707960079.2759311,1,2,19.2758984375,390687,46.12640589239267,1010.1648986058385,25.71729849329189
1707960080.2871091,2,2,19.2606640625,392964,46.218398148237455,1010.1467625855752,25.86866764372673
1707960081.2986465,2,2,19.242109375,394342,46.2725349230921,1010.1423746275868,25.905291305318745
1707960082.3104382,2,2,19.222578125,396662,46.25153654893104,1010.1241411552867,26.057476575840948
1707960083.322104,2,2,19.20890625,393193,46.30624180750411,1010.1190668310009,26.09982970613671
1707960084.3369598,2,2,19.196015625,395963,46.36105267837101,1010.1170280817106,26.116846289159646
