Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712792273.93,0,0,56.0,4.0,6.5,7.0,26.72365234375,41.291476867320256,1004.7768279363347,70.78499270442538,211784.0
1712792276.0,0,0,51.5,4.0,6.0,7.0,26.74572265625,41.20355546955663,1004.7792897307338,70.76435675630847,215132.0
1712792277.97,0,0,45.5,4.0,6.0,7.0,26.76564453125,41.11543530930112,1004.7834133972767,70.72979030339204,217355.5
1712792280.0,0,0,52.0,4.0,6.0,7.0,26.7954296875,41.04651076721133,1004.7795026116659,70.76257229438104,219357.5
1712792281.98,0,0,42.5,4.0,6.0,7.0,26.82228515625,40.96525023736611,1004.7828834930515,70.73423219084131,221664.0
1712792283.97,0,0,42.5,4.0,6.0,6.5,26.83400390625,40.885351310639976,1004.778750741039,70.76887481880465,223891.0
1712792285.97,0,0,48.5,4.0,6.0,6.5,26.849140625,40.80887213443859,1004.7810781903346,70.74936507258039,225929.5
1712792288.0,0,0,46.0,4.0,6.0,6.0,26.8614453125,40.73511636401517,1004.7770394267369,70.78321989373617,228386.5
1712792289.97,0,0,55.0,4.0,6.0,6.0,26.86720703125,40.669675022240384,1004.780427273955,70.75482135777435,230128.0
1712792291.98,0,0,55.0,4.0,6.0,6.0,26.87404296875,40.61638580211232,1004.7803907153756,70.75512778886318,233857.0
1712792293.97,0,0,50.0,4.0,6.0,6.0,26.882734375,40.60833961325096,1004.7764810364807,70.78790064821939,234330.0
1712792296.0,0,0,48.5,5.0,7.0,7.0,26.907832031250003,40.63512971326254,1004.7795650802004,70.76204864664828,235452.5
1712792297.97,0,0,50.5,5.0,7.0,7.0,26.9399609375,40.6386804515338,1004.7794718603755,70.76283016426943,238031.5
1712792300.01,0,0,49.5,5.0,7.0,7.0,26.96974609375,40.60594271528923,1004.7703526197706,70.83927212246945,238773.5
1712792301.96,0,0,49.5,5.0,7.0,7.0,26.98791015625,40.57492713069542,1004.7663952616284,70.87244481845977,241262.5
1712792303.99,0,0,52.5,3.0,5.0,5.0,27.00060546875,40.531307959523375,1004.7716278980147,70.82858212142874,243124.0
1712792305.97,0,0,39.5,3.0,5.0,5.0,27.021113281250003,40.51556508131828,1004.7680486127681,70.85858551894515,244843.5
1712792308.0,0,0,55.5,3.0,5.0,5.0,27.049921875000003,40.50073931265337,1004.7607744510392,70.91956169595295,244670.0
1712792309.95,0,0,55.5,3.0,5.0,5.0,27.07990234375,40.45904033005995,1004.7476369001957,71.02968905613344,245710.5
